district,year,crime_type,count
bidar,2022,kidnapping and abduction of children,232
bidar,2022,murder (sec.302 ipc),12
bidar,2022,other ipc crimes,72
bidar,2022,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",204
bidar,2022,"simple hurt (sec.323 r/w ipc,324,332,353,327,328,330 ipc)",4
bidar,2022,total crimes against children (ipc+ sll),288
bidar,2022,total ipc crimes against children,172
bidar,2022,total sll crimes against children,116
bidar,2023,abetment to suicide of women (sec. 305/306 ipc),16
bidar,2023,assault on women with intent to outrage her modesty (sec. 354 ipc),108
bidar,2023,attempt to commit rape (sec. 376/511 ipc),2
bidar,2023,cruelty by husband or his relatives (sec. 498 a ipc),220
bidar,2023,cyber crimes/information technology act (women centric crimes only),4
bidar,2023,dowry deaths (sec. 304b ipc),8
bidar,2023,"dowry prohibition act, 1961",52
bidar,2023,immoral traffic (prevention) act 1956 (women victims cases only),8
bidar,2023,"indecent representation of women (prohibition) act, 1986",2
bidar,2023,kidnapping & abduction of women,22
bidar,2023,protection of children from sexual violence act (girl child victims only),102
bidar,2023,rape (sec. 376 ipc),22
bidar,2023,total crime against women (ipc+sll),566
chamarajnagar,2022,exposure and abandonment (sec.317 ipc),4
chamarajnagar,2022,juveniles justice (care and protection of children) act,2
chamarajnagar,2022,kidnapping and abduction of children,42
chamarajnagar,2022,other ipc crimes,88
chamarajnagar,2022,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",192
chamarajnagar,2022,total crimes against children (ipc+ sll),232
chamarajnagar,2022,total ipc crimes against children,134
chamarajnagar,2022,total sll crimes against children,98
chamarajnagar,2023,abetment to suicide of women (sec. 305/306 ipc),6
chamarajnagar,2023,assault on women with intent to outrage her modesty (sec. 354 ipc),310
chamarajnagar,2023,cruelty by husband or his relatives (sec. 498 a ipc),38
chamarajnagar,2023,dowry deaths (sec. 304b ipc),2
chamarajnagar,2023,"dowry prohibition act, 1961",58
chamarajnagar,2023,insult to the modesty of women (sec. 509 ipc),4
chamarajnagar,2023,kidnapping & abduction of women,8
chamarajnagar,2023,protection of children from sexual violence act (girl child victims only),96
chamarajnagar,2023,rape (sec. 376 ipc),18
chamarajnagar,2023,total crime against women (ipc+sll),540
chikkaballapura,2022,abetment of suicide of child (sec.305 ipc),2
chikkaballapura,2022,attempt to commit murder (sec.307 ipc),4
chikkaballapura,2022,child labour (prohibition & regulation) act,4
chikkaballapura,2022,exposure and abandonment (sec.317 ipc),2
chikkaballapura,2022,"grievous hurt (sec.325, 32,326a, 326b,329,331, 333, 335 ipc)",2
chikkaballapura,2022,kidnapping and abduction of children,204
chikkaballapura,2022,murder (sec.302 ipc),2
chikkaballapura,2022,other ipc crimes,84
chikkaballapura,2022,prohibition of child marriage act,16
chikkaballapura,2022,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",552
chikkaballapura,2022,"simple hurt (sec.323 r/w ipc,324,332,353,327,328,330 ipc)",2
chikkaballapura,2022,total crimes against children (ipc+ sll),496
chikkaballapura,2022,total ipc crimes against children,200
chikkaballapura,2022,total sll crimes against children,296
chikkaballapura,2023,abetment to suicide of women (sec. 305/306 ipc),26
chikkaballapura,2023,assault on women with intent to outrage her modesty (sec. 354 ipc),292
chikkaballapura,2023,cruelty by husband or his relatives (sec. 498 a ipc),102
chikkaballapura,2023,dowry deaths (sec. 304b ipc),22
chikkaballapura,2023,"dowry prohibition act, 1961",72
chikkaballapura,2023,human trafficking (sec. 370 & 370a ipc),2
chikkaballapura,2023,insult to the modesty of women (sec. 509 ipc),2
chikkaballapura,2023,kidnapping & abduction of women,6
chikkaballapura,2023,miscarriage (sec. 313 & 314 ipc),2
chikkaballapura,2023,protection of children from sexual violence act (girl child victims only),276
chikkaballapura,2023,rape (sec. 376 ipc),18
chikkaballapura,2023,total crime against women (ipc+sll),820
chikkamagaluru,2022,attempt to commit murder (sec.307 ipc),4
chikkamagaluru,2022,"grievous hurt (sec.325, 32,326a, 326b,329,331, 333, 335 ipc)",2
chikkamagaluru,2022,juveniles justice (care and protection of children) act,2
chikkamagaluru,2022,kidnapping and abduction of children,152
chikkamagaluru,2022,murder (sec.302 ipc),2
chikkamagaluru,2022,other ipc crimes,12
chikkamagaluru,2022,prohibition of child marriage act,12
chikkamagaluru,2022,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",488
chikkamagaluru,2022,"simple hurt (sec.323 r/w ipc,324,332,353,327,328,330 ipc)",8
chikkamagaluru,2022,total crimes against children (ipc+ sll),438
chikkamagaluru,2022,total ipc crimes against children,180
chikkamagaluru,2022,total sll crimes against children,258
chikkamagaluru,2023,abetment to suicide of women (sec. 305/306 ipc),12
chikkamagaluru,2023,assault on women with intent to outrage her modesty (sec. 354 ipc),446
chikkamagaluru,2023,cruelty by husband or his relatives (sec. 498 a ipc),86
chikkamagaluru,2023,dowry deaths (sec. 304b ipc),8
chikkamagaluru,2023,"dowry prohibition act, 1961",80
chikkamagaluru,2023,immoral traffic (prevention) act 1956 (women victims cases only),4
chikkamagaluru,2023,kidnapping & abduction of women,2
chikkamagaluru,2023,murder with rape/gang rape,2
chikkamagaluru,2023,protection of children from sexual violence act (girl child victims only),244
chikkamagaluru,2023,rape (sec. 376 ipc),12
chikkamagaluru,2023,total crime against women (ipc+sll),896
chitradurga,2022,child labour (prohibition & regulation) act,18
chitradurga,2022,exposure and abandonment (sec.317 ipc),4
chitradurga,2022,juveniles justice (care and protection of children) act,2
chitradurga,2022,kidnapping and abduction of children,492
chitradurga,2022,murder (sec.302 ipc),4
chitradurga,2022,other ipc crimes,30
chitradurga,2022,prohibition of child marriage act,4
chitradurga,2022,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",384
chitradurga,2022,total crimes against children (ipc+ sll),420
chitradurga,2022,total ipc crimes against children,204
chitradurga,2022,total sll crimes against children,216
chitradurga,2023,abetment to suicide of women (sec. 305/306 ipc),26
chitradurga,2023,assault on women with intent to outrage her modesty (sec. 354 ipc),766
chitradurga,2023,cruelty by husband or his relatives (sec. 498 a ipc),144
chitradurga,2023,cyber crimes/information technology act (women centric crimes only),2
chitradurga,2023,dowry deaths (sec. 304b ipc),14
chitradurga,2023,"dowry prohibition act, 1961",94
chitradurga,2023,immoral traffic (prevention) act 1956 (women victims cases only),2
chitradurga,2023,insult to the modesty of women (sec. 509 ipc),8
chitradurga,2023,kidnapping & abduction of women,10
chitradurga,2023,protection of children from sexual violence act (girl child victims only),192
chitradurga,2023,rape (sec. 376 ipc),24
chitradurga,2023,total crime against women (ipc+sll),1282
dakshina kannada,2022,abetment of suicide of child (sec.305 ipc),2
dakshina kannada,2022,cyber crimes/information technology act,24
dakshina kannada,2022,juveniles justice (care and protection of children) act,10
dakshina kannada,2022,kidnapping and abduction of children,68
dakshina kannada,2022,murder (sec.302 ipc),2
dakshina kannada,2022,other ipc crimes,126
dakshina kannada,2022,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",380
dakshina kannada,2022,total crimes against children (ipc+ sll),324
dakshina kannada,2022,total ipc crimes against children,164
dakshina kannada,2022,total sll crimes against children,160
dakshina kannada,2023,abetment to suicide of women (sec. 305/306 ipc),4
dakshina kannada,2023,assault on women with intent to outrage her modesty (sec. 354 ipc),114
dakshina kannada,2023,cruelty by husband or his relatives (sec. 498 a ipc),62
dakshina kannada,2023,cyber crimes/information technology act (women centric crimes only),12
dakshina kannada,2023,"dowry prohibition act, 1961",8
dakshina kannada,2023,insult to the modesty of women (sec. 509 ipc),4
dakshina kannada,2023,kidnapping & abduction of women,24
dakshina kannada,2023,protection of children from sexual violence act (girl child victims only),130
dakshina kannada,2023,rape (sec. 376 ipc),20
dakshina kannada,2023,total crime against women (ipc+sll),378
davanagere,2022,child labour (prohibition & regulation) act,8
davanagere,2022,cyber crimes/information technology act,6
davanagere,2022,exposure and abandonment (sec.317 ipc),10
davanagere,2022,human trafficking (secs. 370 & 370a ipc) (children only),6
davanagere,2022,kidnapping and abduction of children,708
davanagere,2022,murder (sec.302 ipc),2
davanagere,2022,other ipc crimes,6
davanagere,2022,other sll crimes,2
davanagere,2022,prohibition of child marriage act,12
davanagere,2022,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",376
davanagere,2022,total crimes against children (ipc+ sll),478
davanagere,2022,total ipc crimes against children,262
davanagere,2022,total sll crimes against children,216
davanagere,2023,abetment to suicide of women (sec. 305/306 ipc),18
davanagere,2023,assault on women with intent to outrage her modesty (sec. 354 ipc),436
davanagere,2023,attempt to commit rape (sec. 376/511 ipc),2
davanagere,2023,cruelty by husband or his relatives (sec. 498 a ipc),118
davanagere,2023,cyber crimes/information technology act (women centric crimes only),6
davanagere,2023,dowry deaths (sec. 304b ipc),14
davanagere,2023,"dowry prohibition act, 1961",186
davanagere,2023,immoral traffic (prevention) act 1956 (women victims cases only),2
davanagere,2023,insult to the modesty of women (sec. 509 ipc),2
davanagere,2023,kidnapping & abduction of women,138
davanagere,2023,murder with rape/gang rape,4
davanagere,2023,protection of children from sexual violence act (girl child victims only),188
davanagere,2023,rape (sec. 376 ipc),34
davanagere,2023,total crime against women (ipc+sll),1148
dharwad,2022,cyber crimes/information technology act,2
dharwad,2022,exposure and abandonment (sec.317 ipc),8
dharwad,2022,kidnapping and abduction of children,36
dharwad,2022,other ipc crimes,32
dharwad,2022,other sll crimes,2
dharwad,2022,prohibition of child marriage act,12
dharwad,2022,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",132
dharwad,2022,total crimes against children (ipc+ sll),158
dharwad,2022,total ipc crimes against children,76
dharwad,2022,total sll crimes against children,82
dharwad,2023,abetment to suicide of women (sec. 305/306 ipc),2
dharwad,2023,assault on women with intent to outrage her modesty (sec. 354 ipc),94
dharwad,2023,attempt to commit rape (sec. 376/511 ipc),2
dharwad,2023,cruelty by husband or his relatives (sec. 498 a ipc),84
dharwad,2023,cyber crimes/information technology act (women centric crimes only),2
dharwad,2023,"dowry prohibition act, 1961",10
dharwad,2023,protection of children from sexual violence act (girl child victims only),66
dharwad,2023,rape (sec. 376 ipc),6
dharwad,2023,total crime against women (ipc+sll),266
gadag,2022,cyber crimes/information technology act,6
gadag,2022,exposure and abandonment (sec.317 ipc),4
gadag,2022,kidnapping and abduction of children,84
gadag,2022,murder (sec.302 ipc),2
gadag,2022,other ipc crimes,10
gadag,2022,prohibition of child marriage act,10
gadag,2022,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",202
gadag,2022,total crimes against children (ipc+ sll),144
gadag,2022,total ipc crimes against children,58
gadag,2022,total sll crimes against children,86
gadag,2023,abetment to suicide of women (sec. 305/306 ipc),8
gadag,2023,assault on women with intent to outrage her modesty (sec. 354 ipc),112
gadag,2023,cruelty by husband or his relatives (sec. 498 a ipc),46
gadag,2023,cyber crimes/information technology act (women centric crimes only),6
gadag,2023,dowry deaths (sec. 304b ipc),4
gadag,2023,"dowry prohibition act, 1961",10
gadag,2023,insult to the modesty of women (sec. 509 ipc),2
gadag,2023,kidnapping & abduction of women,2
gadag,2023,murder with rape/gang rape,2
gadag,2023,protection of children from sexual violence act (girl child victims only),68
gadag,2023,rape (sec. 376 ipc),14
gadag,2023,total crime against women (ipc+sll),274
hassan,2022,cyber crimes/information technology act,8
hassan,2022,human trafficking (secs. 370 & 370a ipc) (children only),2
hassan,2022,juveniles justice (care and protection of children) act,2
hassan,2022,kidnapping and abduction of children,272
hassan,2022,other ipc crimes,30
hassan,2022,other sll crimes,6
hassan,2022,prohibition of child marriage act,26
hassan,2022,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",608
hassan,2022,total crimes against children (ipc+ sll),514
hassan,2022,total ipc crimes against children,168
hassan,2022,total sll crimes against children,346
hassan,2023,abetment to suicide of women (sec. 305/306 ipc),18
hassan,2023,assault on women with intent to outrage her modesty (sec. 354 ipc),546
hassan,2023,cruelty by husband or his relatives (sec. 498 a ipc),100
hassan,2023,cyber crimes/information technology act (women centric crimes only),8
hassan,2023,dowry deaths (sec. 304b ipc),10
hassan,2023,"dowry prohibition act, 1961",156
hassan,2023,kidnapping & abduction of women,132
hassan,2023,protection of children from sexual violence act (girl child victims only),304
hassan,2023,rape (sec. 376 ipc),26
hassan,2023,total crime against women (ipc+sll),1300
haveri,2022,exposure and abandonment (sec.317 ipc),2
haveri,2022,juveniles justice (care and protection of children) act,4
haveri,2022,kidnapping and abduction of children,126
haveri,2022,other ipc crimes,2
haveri,2022,prohibition of child marriage act,2
haveri,2022,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",312
haveri,2022,total crimes against children (ipc+ sll),292
haveri,2022,total ipc crimes against children,130
haveri,2022,total sll crimes against children,162
haveri,2023,abetment to suicide of women (sec. 305/306 ipc),12
haveri,2023,assault on women with intent to outrage her modesty (sec. 354 ipc),224
haveri,2023,cruelty by husband or his relatives (sec. 498 a ipc),72
haveri,2023,dowry deaths (sec. 304b ipc),8
haveri,2023,"dowry prohibition act, 1961",62
haveri,2023,kidnapping & abduction of women,116
haveri,2023,protection of children from sexual violence act (girl child victims only),156
haveri,2023,rape (sec. 376 ipc),26
haveri,2023,total crime against women (ipc+sll),676
hubballi dharwad city,2022,child labour (prohibition & regulation) act,2
hubballi dharwad city,2022,cyber crimes/information technology act,20
hubballi dharwad city,2022,exposure and abandonment (sec.317 ipc),8
hubballi dharwad city,2022,kidnapping and abduction of children,120
hubballi dharwad city,2022,prohibition of child marriage act,4
hubballi dharwad city,2022,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",156
hubballi dharwad city,2022,total crimes against children (ipc+ sll),172
hubballi dharwad city,2022,total ipc crimes against children,68
hubballi dharwad city,2022,total sll crimes against children,104
hubballi dharwad city,2023,abetment to suicide of women (sec. 305/306 ipc),8
hubballi dharwad city,2023,assault on women with intent to outrage her modesty (sec. 354 ipc),110
hubballi dharwad city,2023,cruelty by husband or his relatives (sec. 498 a ipc),174
hubballi dharwad city,2023,cyber crimes/information technology act (women centric crimes only),18
hubballi dharwad city,2023,dowry deaths (sec. 304b ipc),4
hubballi dharwad city,2023,immoral traffic (prevention) act 1956 (women victims cases only),12
hubballi dharwad city,2023,kidnapping & abduction of women,10
hubballi dharwad city,2023,protection of children from sexual violence act (girl child victims only),78
hubballi dharwad city,2023,rape (sec. 376 ipc),20
hubballi dharwad city,2023,total crime against women (ipc+sll),434
k.g.f.,2022,child labour (prohibition & regulation) act,4
k.g.f.,2022,cyber crimes/information technology act,16
k.g.f.,2022,foeticide (sec. 315 & 316 ipc),2
k.g.f.,2022,kidnapping and abduction of children,34
k.g.f.,2022,murder (sec.302 ipc),2
k.g.f.,2022,prohibition of child marriage act,2
k.g.f.,2022,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",120
k.g.f.,2022,total crimes against children (ipc+ sll),112
k.g.f.,2022,total ipc crimes against children,38
k.g.f.,2022,total sll crimes against children,74
k.g.f.,2023,abetment to suicide of women (sec. 305/306 ipc),6
k.g.f.,2023,assault on women with intent to outrage her modesty (sec. 354 ipc),78
k.g.f.,2023,cruelty by husband or his relatives (sec. 498 a ipc),26
k.g.f.,2023,cyber crimes/information technology act (women centric crimes only),8
k.g.f.,2023,dowry deaths (sec. 304b ipc),2
k.g.f.,2023,"dowry prohibition act, 1961",34
k.g.f.,2023,kidnapping & abduction of women,16
k.g.f.,2023,protection of children from sexual violence act (girl child victims only),60
k.g.f.,2023,rape (sec. 376 ipc),10
k.g.f.,2023,total crime against women (ipc+sll),240
k.railways,2022,child labour (prohibition & regulation) act,2
k.railways,2022,exposure and abandonment (sec.317 ipc),4
k.railways,2022,kidnapping and abduction of children,14
k.railways,2022,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",4
k.railways,2022,total crimes against children (ipc+ sll),24
k.railways,2022,total ipc crimes against children,18
k.railways,2022,total sll crimes against children,6
k.railways,2023,assault on women with intent to outrage her modesty (sec. 354 ipc),6
k.railways,2023,cruelty by husband or his relatives (sec. 498 a ipc),6
k.railways,2023,insult to the modesty of women (sec. 509 ipc),2
k.railways,2023,protection of children from sexual violence act (girl child victims only),4
k.railways,2023,total crime against women (ipc+sll),18
kalaburgi,2022,abetment of suicide of child (sec.305 ipc),4
kalaburgi,2022,assault on women with intent to outrage her modesty (sec. 354 ipc),2
kalaburgi,2022,attempt to commit murder (sec.307 ipc),2
kalaburgi,2022,child labour (prohibition & regulation) act,4
kalaburgi,2022,cyber crimes/information technology act,12
kalaburgi,2022,exposure and abandonment (sec.317 ipc),6
kalaburgi,2022,juveniles justice (care and protection of children) act,2
kalaburgi,2022,kidnapping and abduction of children,194
kalaburgi,2022,murder (sec.302 ipc),20
kalaburgi,2022,other ipc crimes,42
kalaburgi,2022,prohibition of child marriage act,8
kalaburgi,2022,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",212
kalaburgi,2022,total crimes against children (ipc+ sll),268
kalaburgi,2022,total ipc crimes against children,132
kalaburgi,2022,total sll crimes against children,136
kalaburgi,2023,abetment to suicide of women (sec. 305/306 ipc),20
kalaburgi,2023,assault on women with intent to outrage her modesty (sec. 354 ipc),234
kalaburgi,2023,cruelty by husband or his relatives (sec. 498 a ipc),202
kalaburgi,2023,cyber crimes/information technology act (women centric crimes only),2
kalaburgi,2023,dowry deaths (sec. 304b ipc),6
kalaburgi,2023,"dowry prohibition act, 1961",6
kalaburgi,2023,immoral traffic (prevention) act 1956 (women victims cases only),2
kalaburgi,2023,kidnapping & abduction of women,58
kalaburgi,2023,miscarriage (sec. 313 & 314 ipc),2
kalaburgi,2023,murder with rape/gang rape,2
kalaburgi,2023,protection of children from sexual violence act (girl child victims only),110
kalaburgi,2023,rape (sec. 376 ipc),24
kalaburgi,2023,total crime against women (ipc+sll),668
kalaburgi city,2022,cyber crimes/information technology act,8
kalaburgi city,2022,exposure and abandonment (sec.317 ipc),12
kalaburgi city,2022,kidnapping and abduction of children,266
kalaburgi city,2022,murder (sec.302 ipc),6
kalaburgi city,2022,other ipc crimes,16
kalaburgi city,2022,prohibition of child marriage act,8
kalaburgi city,2022,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",72
kalaburgi city,2022,total crimes against children (ipc+ sll),174
kalaburgi city,2022,total ipc crimes against children,122
kalaburgi city,2022,total sll crimes against children,52
kalaburgi city,2023,abetment to suicide of women (sec. 305/306 ipc),8
kalaburgi city,2023,assault on women with intent to outrage her modesty (sec. 354 ipc),82
kalaburgi city,2023,attempt to commit rape (sec. 376/511 ipc),2
kalaburgi city,2023,cruelty by husband or his relatives (sec. 498 a ipc),106
kalaburgi city,2023,dowry deaths (sec. 304b ipc),6
kalaburgi city,2023,"dowry prohibition act, 1961",100
kalaburgi city,2023,immoral traffic (prevention) act 1956 (women victims cases only),6
kalaburgi city,2023,kidnapping & abduction of women,2
kalaburgi city,2023,miscarriage (sec. 313 & 314 ipc),10
kalaburgi city,2023,murder with rape/gang rape,2
kalaburgi city,2023,protection of children from sexual violence act (girl child victims only),34
kalaburgi city,2023,rape (sec. 376 ipc),14
kalaburgi city,2023,total crime against women (ipc+sll),372
kodagu,2022,attempt to commit murder (sec.307 ipc),2
kodagu,2022,cyber crimes/information technology act,2
kodagu,2022,exposure and abandonment (sec.317 ipc),4
kodagu,2022,kidnapping and abduction of children,132
kodagu,2022,other ipc crimes,36
kodagu,2022,prohibition of child marriage act,4
kodagu,2022,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",264
kodagu,2022,"simple hurt (sec.323 r/w ipc,324,332,353,327,328,330 ipc)",12
kodagu,2022,total crimes against children (ipc+ sll),258
kodagu,2022,total ipc crimes against children,120
kodagu,2022,total sll crimes against children,138
kodagu,2023,abetment to suicide of women (sec. 305/306 ipc),6
kodagu,2023,assault on women with intent to outrage her modesty (sec. 354 ipc),106
kodagu,2023,cruelty by husband or his relatives (sec. 498 a ipc),48
kodagu,2023,cyber crimes/information technology act (women centric crimes only),4
kodagu,2023,"dowry prohibition act, 1961",4
kodagu,2023,insult to the modesty of women (sec. 509 ipc),2
kodagu,2023,kidnapping & abduction of women,54
kodagu,2023,protection of children from sexual violence act (girl child victims only),132
kodagu,2023,rape (sec. 376 ipc),16
kodagu,2023,total crime against women (ipc+sll),372
kolar,2022,cyber crimes/information technology act,6
kolar,2022,exposure and abandonment (sec.317 ipc),4
kolar,2022,kidnapping and abduction of children,124
kolar,2022,murder (sec.302 ipc),6
kolar,2022,other ipc crimes,12
kolar,2022,other sll crimes,4
kolar,2022,prohibition of child marriage act,10
kolar,2022,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",276
kolar,2022,total crimes against children (ipc+ sll),304
kolar,2022,total ipc crimes against children,146
kolar,2022,total sll crimes against children,158
kolar,2023,abetment to suicide of women (sec. 305/306 ipc),2
kolar,2023,assault on women with intent to outrage her modesty (sec. 354 ipc),258
kolar,2023,cruelty by husband or his relatives (sec. 498 a ipc),46
kolar,2023,cyber crimes/information technology act (women centric crimes only),6
kolar,2023,dowry deaths (sec. 304b ipc),14
kolar,2023,"dowry prohibition act, 1961",72
kolar,2023,insult to the modesty of women (sec. 509 ipc),2
kolar,2023,kidnapping & abduction of women,104
kolar,2023,protection of children from sexual violence act (girl child victims only),138
kolar,2023,rape (sec. 376 ipc),24
kolar,2023,total crime against women (ipc+sll),666
koppal,2022,cyber crimes/information technology act,8
koppal,2022,exposure and abandonment (sec.317 ipc),8
koppal,2022,kidnapping and abduction of children,80
koppal,2022,murder (sec.302 ipc),2
koppal,2022,other ipc crimes,56
koppal,2022,prohibition of child marriage act,8
koppal,2022,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",284
koppal,2022,total crimes against children (ipc+ sll),304
koppal,2022,total ipc crimes against children,146
koppal,2022,total sll crimes against children,158
koppal,2023,abetment to suicide of women (sec. 305/306 ipc),4
koppal,2023,assault on women with intent to outrage her modesty (sec. 354 ipc),218
koppal,2023,cruelty by husband or his relatives (sec. 498 a ipc),192
koppal,2023,cyber crimes/information technology act (women centric crimes only),8
koppal,2023,dowry deaths (sec. 304b ipc),8
koppal,2023,"dowry prohibition act, 1961",2
koppal,2023,human trafficking (sec. 370 & 370a ipc),2
koppal,2023,insult to the modesty of women (sec. 509 ipc),4
koppal,2023,kidnapping & abduction of women,62
koppal,2023,miscarriage (sec. 313 & 314 ipc),2
koppal,2023,protection of children from sexual violence act (girl child victims only),142
koppal,2023,rape (sec. 376 ipc),16
koppal,2023,total crime against women (ipc+sll),660
mandya,2022,child labour (prohibition & regulation) act,2
mandya,2022,exposure and abandonment (sec.317 ipc),8
mandya,2022,juveniles justice (care and protection of children) act,2
mandya,2022,kidnapping and abduction of children,456
mandya,2022,murder (sec.302 ipc),20
mandya,2022,other ipc crimes,82
mandya,2022,prohibition of child marriage act,20
mandya,2022,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",394
mandya,2022,total crimes against children (ipc+ sll),550
mandya,2022,total ipc crimes against children,328
mandya,2022,total sll crimes against children,222
mandya,2023,abetment to suicide of women (sec. 305/306 ipc),22
mandya,2023,assault on women with intent to outrage her modesty (sec. 354 ipc),684
mandya,2023,cruelty by husband or his relatives (sec. 498 a ipc),184
mandya,2023,dowry deaths (sec. 304b ipc),10
mandya,2023,"dowry prohibition act, 1961",78
mandya,2023,immoral traffic (prevention) act 1956 (women victims cases only),6
mandya,2023,"indecent representation of women (prohibition) act, 1986",2
mandya,2023,insult to the modesty of women (sec. 509 ipc),4
mandya,2023,kidnapping & abduction of women,10
mandya,2023,murder with rape/gang rape,2
mandya,2023,protection of children from sexual violence act (girl child victims only),198
mandya,2023,rape (sec. 376 ipc),20
mandya,2023,total crime against women (ipc+sll),1220
mangaluru city,2022,cyber crimes/information technology act,44
mangaluru city,2022,exposure and abandonment (sec.317 ipc),2
mangaluru city,2022,juveniles justice (care and protection of children) act,6
mangaluru city,2022,kidnapping and abduction of children,120
mangaluru city,2022,murder (sec.302 ipc),2
mangaluru city,2022,other ipc crimes,72
mangaluru city,2022,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",268
mangaluru city,2022,total crimes against children (ipc+ sll),296
mangaluru city,2022,total ipc crimes against children,136
mangaluru city,2022,total sll crimes against children,160
mangaluru city,2023,abetment to suicide of women (sec. 305/306 ipc),8
mangaluru city,2023,assault on women with intent to outrage her modesty (sec. 354 ipc),166
mangaluru city,2023,cruelty by husband or his relatives (sec. 498 a ipc),64
mangaluru city,2023,cyber crimes/information technology act (women centric crimes only),16
mangaluru city,2023,dowry deaths (sec. 304b ipc),6
mangaluru city,2023,"dowry prohibition act, 1961",34
mangaluru city,2023,human trafficking (sec. 370 & 370a ipc),6
mangaluru city,2023,immoral traffic (prevention) act 1956 (women victims cases only),4
mangaluru city,2023,insult to the modesty of women (sec. 509 ipc),8
mangaluru city,2023,kidnapping & abduction of women,4
mangaluru city,2023,protection of children from sexual violence act (girl child victims only),134
mangaluru city,2023,rape (sec. 376 ipc),24
mangaluru city,2023,total crime against women (ipc+sll),474
mysuru city,2022,child labour (prohibition & regulation) act,8
mysuru city,2022,cyber crimes/information technology act,10
mysuru city,2022,exposure and abandonment (sec.317 ipc),10
mysuru city,2022,kidnapping and abduction of children,248
mysuru city,2022,murder (sec.302 ipc),2
mysuru city,2022,prohibition of child marriage act,6
mysuru city,2022,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",262
mysuru city,2022,"simple hurt (sec.323 r/w ipc,324,332,353,327,328,330 ipc)",2
mysuru city,2022,total crimes against children (ipc+ sll),272
mysuru city,2022,total ipc crimes against children,138
mysuru city,2022,total sll crimes against children,134
mysuru city,2023,abetment to suicide of women (sec. 305/306 ipc),14
mysuru city,2023,assault on women with intent to outrage her modesty (sec. 354 ipc),162
mysuru city,2023,cruelty by husband or his relatives (sec. 498 a ipc),86
mysuru city,2023,cyber crimes/information technology act (women centric crimes only),10
mysuru city,2023,dowry deaths (sec. 304b ipc),6
mysuru city,2023,"dowry prohibition act, 1961",238
mysuru city,2023,insult to the modesty of women (sec. 509 ipc),6
mysuru city,2023,kidnapping & abduction of women,90
mysuru city,2023,protection of children from sexual violence act (girl child victims only),108
mysuru city,2023,rape (sec. 376 ipc),30
mysuru city,2023,total crime against women (ipc+sll),750
mysuru district,2022,child labour (prohibition & regulation) act,4
mysuru district,2022,cyber crimes/information technology act,14
mysuru district,2022,exposure and abandonment (sec.317 ipc),2
mysuru district,2022,infanticide (sec.315 ipc),2
mysuru district,2022,juveniles justice (care and protection of children) act,2
mysuru district,2022,kidnapping and abduction of children,490
mysuru district,2022,murder (sec.302 ipc),8
mysuru district,2022,other ipc crimes,128
mysuru district,2022,prohibition of child marriage act,18
mysuru district,2022,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",540
mysuru district,2022,total crimes against children (ipc+ sll),612
mysuru district,2022,total ipc crimes against children,304
mysuru district,2022,total sll crimes against children,308
mysuru district,2023,abetment to suicide of women (sec. 305/306 ipc),12
mysuru district,2023,assault on women with intent to outrage her modesty (sec. 354 ipc),568
mysuru district,2023,cruelty by husband or his relatives (sec. 498 a ipc),194
mysuru district,2023,cyber crimes/information technology act (women centric crimes only),18
mysuru district,2023,dowry deaths (sec. 304b ipc),16
mysuru district,2023,"dowry prohibition act, 1961",46
mysuru district,2023,immoral traffic (prevention) act 1956 (women victims cases only),14
mysuru district,2023,insult to the modesty of women (sec. 509 ipc),8
mysuru district,2023,kidnapping & abduction of women,2
mysuru district,2023,protection of children from sexual violence act (girl child victims only),270
mysuru district,2023,rape (sec. 376 ipc),44
mysuru district,2023,total crime against women (ipc+sll),1192
raichur,2022,child labour (prohibition & regulation) act,12
